LvliFormID, LvliEditorID, Index, Level,  Count, ChanceNone, FormID, EditorID, Type
0x000009C6,"LL_Spacesuit_Constellation_Body_Quality_05",1,1,1,0,0x001E2B18,"Spacesuit_Constellation_01","ARMO"
0x000019F5,"LL_Weapon_Reward_MQ105",1,1,1,0,0x002984DF,"Maelstrom","WEAP"
0x000019F7,"LL_Weapon_Reward_MQ204_HuntersLaserRifle",1,1,1,0,0x002773C8,"Orion","WEAP"
0x00001C07,"LL_Spacesuit_Constellation_Helmet_Quality_05",1,1,1,0,0x001E2B17,"Spacesuit_Constellation_Helmet_01","ARMO"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",1,1,1,0,0x00279280,"LL_Ammo_777mm","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",2,1,1,0,0x0027928A,"LL_Ammo_40mmXPL","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",3,1,1,0,0x00279289,"LL_Ammo_27Caliber","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",4,1,1,0,0x00279288,"LL_Ammo_9x39Caliber","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",5,1,1,0,0x00279287,"LL_Ammo_43Ultramag","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",6,1,1,0,0x00279286,"LL_Ammo_45Caliber","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",7,1,1,0,0x00279284,"LL_Ammo_50Caliber","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",8,1,1,0,0x00279282,"LL_Ammo_75mmWhitehot","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",9,1,1,0,0x00279281,"LL_Ammo_762mm","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",10,1,1,0,0x0027927C,"LL_Ammo_LaserSmall","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",11,1,1,0,0x0027927D,"LL_Ammo_Laser","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",12,1,1,0,0x0027927B,"LL_Ammo_MIArray43","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",13,1,1,0,0x0027927A,"LL_Ammo_MIArray50","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",14,1,1,0,0x00279279,"LL_Ammo_MIArray65","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",15,1,1,0,0x00279278,"LL_Ammo_ParticleFuseHeavy","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",16,1,1,0,0x00279277,"LL_Ammo_ParticleFuseLight","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",17,1,1,0,0x00279276,"LL_Ammo_Rivet","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",18,1,1,0,0x00279275,"LL_Ammo_PumpShotgun","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",19,1,1,0,0x00279274,"LL_Ammo_Shotshell","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",20,1,1,0,0x00279273,"LL_Ammo_ShotshellCLL","LVLI"
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo",21,1,1,0,0x002EF726,"LL_Ammo_11mm","LVLI"
