FormID, EditorID, Description, Data, NNam, ResultFormId, ResultEditorId, ResultType, ResultName, BenchFormId, BenchEditorId, BenchType, FNAM, LRNM, NumIngr, Ingrediants, RawIngrediants
0x00003BD4,"co_Ship_DefensiveBattery_Laser_DummyFire","","0","1",0x00003C57,"DefensiveBattery_Laser_Body_DummyFire","GBFM","z_LaserDefensiveBattery_DummyFire",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_NoPlayer","3","0",""
0x0000423B,"co_SMA_GravDrive_Vanguard_NG170_UC01","A Graviton Loop Array, or Grav Drive, allows your ship to jump to other star systems. Upgrade to increase your jump range.","6800","1",0x00004242,"SMA_GravDrive_Vanguard_NG170_UC01_QuestOnly","GBFM","Vanguard Recon Grav Drive",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_GravDrive","3","0",""
0x0000423C,"co_SMA_Weapon_Missile_Vanguard_Tempest_CE-13_UC01","Your ship's Weapons affect enemy ships differently in combat, depending on the damage type used. Energy affects shields; Ballistic, hull; and EM, systems.","1500","1",0x00004243,"SMA_Weapon_Missile_Vanguard_Tempest_CE-13_UC01","GBFM","Vanguard Tempest CE-13 Missile Launcher",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Weapon","3","0",""
0x0000423D,"co_SMA_Weapon_Particle_Vanguard_Obliterator_Auto_UC01","Your ship's Weapons affect enemy ships differently in combat, depending on the damage type used. Energy affects shields; Ballistic, hull; and EM, systems.","14100","1",0x00004244,"SMA_Weapon_Particle_Vanguard_Obliterator_Auto_UC01","GBFM","Vanguard Obliterator Autoprojector",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Weapon","3","0",""
0x0000423E,"co_SMB_Shields_Vanguard_Bulwark_UC01","Spaceship Shield Modules help protect your ship from incoming damage.","40500","1",0x00004246,"SMB_Shields_Vanguard_Bulwark_UC01","GBFM","Vanguard Bulwark Shield Generator",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Shields","3","0",""
0x0000423F,"co_SMB_Weapon_Ballistic_Vanguard_Hellfire_Auto_UC01","Your ship's Weapons affect enemy ships differently in combat, depending on the damage type used. Energy affects shields; Ballistic, hull; and EM, systems.","2750","1",0x00004245,"SMB_Ballistic_Vanguard_Hellfire_Auto_UC01","GBFM","Vanguard Hellfire Autocannon",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Weapon","3","0",""
0x00004240,"co_SMC_Weapon_Laser_Vanguard_Starseeker_Auto_UC01","Your ship's Weapons affect enemy ships differently in combat, depending on the damage type used. Energy affects shields; Ballistic, hull; and EM, systems.","38200","1",0x00004247,"SMC_Weapon_Laser_Vanguard_Starseeker_Auto_UC01","GBFM","Vanguard Starseeker Pulse Laser",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Weapon","3","0",""
0x00004241,"co_SMC_Weapon_Particle_Vanguard_Ares_Auto_UC01","Your ship's Weapons affect enemy ships differently in combat, depending on the damage type used. Energy affects shields; Ballistic, hull; and EM, systems.","13600","1",0x00004248,"SMC_Weapon_Particle_Vanguard_Ares_Auto_UC01","GBFM","Vanguard Ares Particle Cannon",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Weapon","3","0",""
0x0000455A,"co_SMC_Shields_Dogstar_104D_Guardian_lvl76","Spaceship Shield Modules help protect your ship from incoming damage.","49100","1",0x00004555,"SMCSet_Shields_Dogstar_104D_Guardian_lvl76","FLST","Dogstar 104D Guardian Shields",0x0029C480,"WorkbenchShipBuildingKeyword","KYWD","Category_ShipMod_Shields","3","0",""
0x0000468D,"co_gun_mod_Eon_Internal_None","Empty internal module.","0","1",0x0005BA3F,"mod_Eon_Internal_None","OMOD","",0x002CE1C0,"WorkbenchWeaponKeyword","KYWD","RecipeGunModInternal","3","2","x1 Aluminum, x1 Sealant","x1 ResInorgCommonAluminum, x1 ResOrgCommonSealant"
