FormID, EditorID, Name, Flags
0x0000003C, "DefaultWorld", "", "00000001"
0x00002D62, "OverlayPOIBiomeDenVolcanicRough01", "Natural Landmark", "00000001"
0x00002D64, "OverlayPOIBiomeDenVolcanicWorn01", "Natural Landmark", "00000001"
0x00005944, "OEAF014CaveWorld", "Cave", "00000001"
0x00006CA1, "OEZW008CaveWorld", "Cave", "00000001"
0x00006CA2, "OEZW006CaveWorld", "Cave", "00000001"
0x00006CA3, "OEZW003CaveWorld", "Cave", "00000001"
0x00006CA4, "OEZW002CaveWorld", "Cave", "00000001"
0x00006CA5, "OEZW004CaveWorld", "Cave", "00000001"
0x00006CA6, "OEZW007CaveWorld", "Cave", "00000001"
0x00009043, "OESD007CaveWorld", "Cave", "00000001"
0x0000904F, "OEOB005CaveWorld", "Cave", "00000001"
0x00009050, "OEOB002CaveWorld", "Cave", "00000001"
0x00009051, "OEJP006CaveWorld", "Cave", "00000001"
0x00009054, "OEJP005CaveWorld", "Cave", "00000001"
0x0000905C, "OEJP004CaveWorld", "Cave", "00000001"
0x0000905E, "OEJP008CaveWorld", "Cave", "00000001"
0x00009061, "OEOB003CaveWorld", "Cave", "00000001"
0x0000909C, "OEOB004CaveWorld", "Cave", "00000001"
0x0000909D, "OESD003CaveWorld", "Cave", "00000001"
0x0000A0DF, "OverlayPOIBiomeDenVolcanicWorn02", "Natural Landmark", "00000001"
0x0000A0E0, "OverlayPOIBiomeDenVolcanicRough02", "Natural Landmark", "00000001"
0x0000C908, "OverlayTraitBolideBombardmentMed02Life", "Meteorite Crater", "00000001"
0x0001251B, "NewAtlantis", "New Atlantis", "00000000"
0x0001349E, "OverlayPOIBiomeOasisVolcanicWorn02", "Natural Landmark", "00000001"
0x0001349F, "OverlayPOIBiomeOasisVeiny02", "Natural Landmark", "00000001"
0x000134A0, "OverlayPOIBiomeOasisRough02", "Natural Landmark", "00000001"
0x000134A1, "OverlayPOIBiomeOasisRough01", "Natural Landmark", "00000001"
0x000134A3, "OverlayPOIBiomeOasisLayered02", "Natural Landmark", "00000001"
0x000134A4, "OverlayPOIBiomeOasisVeiny01", "Natural Landmark", "00000001"
0x000134A5, "OverlayPOIBiomeOasisVolcanicWorn01", "Natural Landmark", "00000001"
0x000134A6, "OverlayPOIBiomeOasisPocked01", "Natural Landmark", "00000001"
0x000134C8, "OverlayPOIBiomeOasisPocked02", "Natural Landmark", "00000001"
0x00014F45, "TempJemisonWorld", "Jemison", "00000000"
0x00016E62, "OverlayPOIBiomeOasisVolcanicRough01", "Natural Landmark", "00000001"
0x000178F0, "OEJP001CaveWorld", "Cave", "00000001"
0x000178F1, "OEAF010CaveWorld", "Cave", "00000001"
0x000178F2, "OEAF007CaveWorld", "Cave", "00000001"
0x000178F3, "OEAF011CaveWorld", "Cave", "00000001"
0x00017BD8, "OESF008World", "Civilian Outpost", "00000001"
0x00018BAF, "OEAF006CaveWorld", "Cave", "00000001"
0x00018BB0, "OEAF002CaveWorld", "Cave", "00000001"
0x00018BB2, "OEAF004CaveWorld", "Cave", "00000001"
0x0001BA5A, "OverlayTraitSentientMicrobialColoniesLg01new", "Sentient Microbial Colony", "00000001"
0x0001F876, "OverlayPOIBiomeOasisSharp02", "Natural Landmark", "00000001"
0x00022850, "OEAF001CaveWorld", "Cave", "00000001"
0x00023C8A, "SB007TempleWorld", "Starborn Temple", "00000001"
0x000249D1, "OverlayPOIBiomeOasisVolcanicRough02", "Natural Landmark", "00000001"
0x00024CA2, "OEOB007World", "Civilian Outpost", "00000001"
0x000277AC, "OverlayPOIBiomeDenVeiny02", "Natural Landmark", "00000001"
