FormID,EditorID,Name,ANAM,Density,Temperature,Model,Fnam, Fnam1, Mass, Radius, Gravity, Fnam5, Dnam1, Dnam2, Enam1, Enam2, Aphelion, Eccentricity, Enam6, MeanOrbit, Enam7, Enam8, Enam9, Enam10, Enam11, Enam12, Gravity, StarId, StarName, Primary, PlanetId, Hnam1,Class,Gliese,Life,MagField,Mass,Type,System,Special, Perihelion, StarDistance, Density, Heat, HydroPct, Hnam6, Hnam7, PeriAngle, Hnam8, StartAngle, Year, Asteroids, Hnam10, Seed, Hnam11
0x000116C1,"_RL082OrbitalPlanetData","_RL082Orbital","_RL082Orbital","1.000000","0.000000","","0","","","","","","scRL082TAWarehouse","1","10352.941406","10352.941406","0.000000","0.000000","-0.000000","10352.941406","0.000000","0","0","0","1","0","1.000000","119198","Valo","3","14","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00017FED,"_RL083OrbitalPlanetData","_RL083Orbital","_RL083Orbital","1.000000","0.000000","","0","","","","","","scRL083","1","3957.803711","3957.803711","0.000000","0.000000","-0.000000","3957.803711","0.000000","0","0","0","1","0","1.000000","64720","Volii","10","14","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00026E96,"_scLC082VigilanceCF01PlanetData","_scLC082VigilanceCF01","_scLC082VigilanceCF01","1.000000","0.000000","","0","","","","","","scLC082VigilanceCF01","1","53.600000","53.600000","0.000000","0.000000","0.000000","53.600000","0.000000","0","0","0","1","0","1.000000","0","Sol","12","58","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00026E97,"_scLC082VigilanceCF04PlanetData","_scLC082VigilanceCF04","_scLC082VigilanceCF04","1.000000","0.000000","","0","","","","","","scLC082VigilanceCF04","1","3867.263428","3867.263428","0.000000","0.000000","-0.000000","3867.263428","0.000000","0","0","0","1","0","1.000000","72955","Aranae","8","16","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00026E98,"_scLC082VigilanceCF05PlanetData","_scLC082VigilanceCF05","_scLC082VigilanceCF05","1.000000","0.000000","","0","","","","","","scLC082VigilanceCF05","1","3169.299072","3169.299072","0.000000","0.000000","-0.000000","3169.299072","0.000000","0","0","0","1","0","1.000000","118493","Procyon B","1","2","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00026E99,"_scLC082VigilanceCF06PlanetData","_scLC082VigilanceCF06","_scLC082VigilanceCF06","1.000000","0.000000","","0","","","","","","scLC082VigilanceCF06","1","11818.208984","11818.208984","0.000000","0.000000","-0.000000","11818.208984","0.000000","0","0","0","1","0","1.000000","118818","Bolivar","1","2","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x00026E9A,"_scLC082VigilanceCF07PlanetData","_scLC082VigilanceCF07","_scLC082VigilanceCF07","1.000000","0.000000","","0","","","","","","scLC082VigilanceCF07","1","4370.966309","4370.966309","0.000000","0.000000","-0.000000","4370.966309","0.000000","0","0","0","1","0","1.000000","72717","Sagan","1","2","0","","","","","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0.000000","0","0.000000","0.000000","0","0","0d","0"
0x0003F598,"BohrIIPlanetData","Bohr II","Bohr II","5.010000","5.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif","2451074","1067767000.000000","1.760000e+24","4374.000000","0.620000","215","","0","156939440.862498","156261830.625425","171507501.400000","0.092826","0.071908","158080000.000000","0.366519","1061158912","0","0","1","0","0.500000","73018","Bohr","0","2","0","G5","","Yes","Average","1.76E+24","Rock","","","144652498.600000","35.026300","5.010000","4.000000","61.000000","1058306785","1068540887","348.000000","-2","131.000000","401.000000","0","0","1100305132d","0"
0x0003F599,"AlgorabIPlanetData","Algorab I","Algorab I","3.050000","445.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet_atmo_effect.nif","304807","5050241000.000000","9.470000e+24","9049.000000","0.790000","215","","0","644977923.272587","644424231.237411","671697423.700000","0.041427","0.052534","646000000.000000","0.349066","1064062661","0","0","1","0","0.630000","60776","Algorab","0","1","0","B9","","","Weak","9.47E+24","Rock","","","620302576.300000","26.631200","3.050000","14.000000","84.000000","1092626678","1103615754","334.000000","-2","178.000000","1761.000000","0","0","2898478468d","0"
0x0003F59A,"MarsPlanetData","Mars","Mars","3.930000","-5.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif","2948168","1079627000.000000","6.410000e+23","3390.000000","0.380000","215","","0","227321636.837615","226978803.473553","239801594.700000","0.054900","0.032289","227939000.000000","0.436332","1064682127","0","0","1","0","0.460000","0","Sol","0","4","0","G2","SOL","","None","6.41E+23","Rock","SOL","","216076405.300000","0.000000","3.930000","3.000000","37.000000","1061158912","1071728558","176.000000","-2","249.000000","780.000000","2","0","1152916193d","0"
0x0003F59B,"PolvoPlanetData","Polvo","Polvo","4.870000","28.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet_atmo_effect.nif","2496062","524846000.000000","4.030000e+24","5822.000000","0.810000","215","","0","52888711.122071","52850332.468834","54903189.240000","0.038089","0.080809","52960000.000000","0.314159","1059760811","0","0","1","0","0.540000","119198","Valo","0","1","0","K5","Gl 702B","Yes","Average","4.03E+24","Rock","Narion B","","51016810.760000","5.086000","4.870000","7.000000","79.000000","1047904911","1058642330","283.000000","-2","315.000000","78.000000","2","0","206099579d","0"
0x0003F59C,"NavacciPlanetData","Navacci","Navacci","2.740000","24.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif","1447683","29702000.000000","6.070000e+22","1742.000000","0.140000","215","","0","173461.611300","173461.543300","173615.124800","0.000900","0.031290","173474.000000","0.139600","0","0","0","1","0","0.390000","119198","Valo","1","7","0","K5","Gl 702B","","","6.07E+22","Barren","Narion B","","173320.534200","5.086000","2.740000","7.000000","21.000000","0","0","225.000000","-2","353.000000","0.000000","0","0","2568423856d","0"
0x0003F59D,"PodiusPlanetData","Podius","Podius","3.340000","-131.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif","286127","6347000.000000","5.450000e+22","1573.000000","0.150000","215","","0","54820.345100","54803.407900","56182.959600","0.024900","0.022558","54905.000000","0.209400","0","0","0","1","0","0.380000","88327","Narion","3","10","0","K0","Gl 702A","","","5.45E+22","Barren","Narion A","","53573.403160","5.083400","3.340000","-30.000000","78.000000","0","0","144.000000","-2","34.000000","0.000000","0","0","40031307d","0"
0x0003F59E,"VecteraPlanetData","Vectera","Vectera","5.380000","-214.000000","Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif","373683","52979000.000000","4.650000e+24","5910.000000","0.910000","215","","0","376454.520800","376419.314400","381602.912800","0.013700","0.045504","376523.000000","0.401400","0","0","0","1","0","1.000000","88327","Narion","6","14","0","K0","Gl 702A","","","4.65E+24","Barren","Narion A","","371443.087200","5.083400","5.380000","-199.000000","56.000000","0","0","122.000000","-2","270.000000","0.000000","0","0","2013042683d","0"
